doi,title
10.1016/j.rser.2023.113280,"Digital twin of electric vehicle battery systems: Comprehensive review of the use cases, requirements, and platforms"
10.1007/s10845-022-01936-x,A novel disassembly process of end-of-life lithium-ion batteries enhanced by online sensing and machine learning techniques
10.1115/1.4056573,Multi-Objective Evolutionary Algorithm with Machine Learning and Local Search for an Energy-Efficient Disassembly Line Balancing Problem in Remanufacturing
10.1109/TIA.2023.3255227,Boost-Up Efficiency of Defective Solar Panel Detection With Pre-Trained Attention Recycling
10.3390/su16188152,"Sustainable Textile Manufacturing with Revolutionizing Textile Dyeing: Deep Learning-Based, for Energy Efficiency and Environmental-Impact Reduction, Pioneering Green Practices for a Sustainable Future"
10.1007/s41939-023-00356-5,Innovative machine learning approaches to predict the compressive strength of recycled plastic aggregate self-compacting concrete incorporating different waste ashes
10.1371/journal.pone.0300504,Optimizing strength of directly recycled aluminum chip-based parts through a hybrid RSM-GA-ANN approach in sustainable hot forging
10.1007/s10853-024-09447-1,Sustainable geopolymers from polyethylene terephthalate waste and industrial by-products: a comprehensive characterisation and performance predictions
10.1080/15376494.2023.2238220,Machine learning and RSM-CCD analysis of green concrete made from waste water plastic bottle caps: Towards performance and optimization
10.1016/B978-0-443-23724-9.00001-3,Journey of computational intelligence in sustainable computing and optimization techniques: An introduction
10.1007/s10668-022-02670-3,The influence of artificial intelligence adoption on circular economy practices in manufacturing industries
10.1016/j.matdes.2025.113926,Low-cycle fatigue of laser powder bed fusion-processed AlSi10Mg using recycled powder: Experiments and machine learning-assisted lifetime prediction
10.1016/j.wmb.2025.01.004,Recycling waste materials in construction: Mechanical properties and predictive modeling of Waste-Derived cement substitutes
10.3390/polym17070940,Machine Learning-Based Process Control for Injection Molding of Recycled Polypropylene
10.3390/polym17060740,"Low-Heating-Rate Thermal Degradation of Date Seed Powder and HDPE Plastic: Machine Learning CDNN, MLRM, and Thermokinetic Analysis"
10.3390/machines13030239,VR Co-Lab: A Virtual Reality Platform for Human–Robot Disassembly Training and Synthetic Data Generation
10.1115/1.4065095,Lithium-Ion Battery Capacity Prediction Method Based on Improved Extreme Learning Machine
10.1108/RPJ-03-2023-0108,Spatter detection and tracking in high-speed video observations of laser powder bed fusion
10.1016/j.compchemeng.2025.109220,BioProcessNexus: An open-source platform for surrogate techno economic models
10.1088/2053-1591/ad4006,Comparative assessment of supervised machine learning algorithms for predicting geometric characteristics of laser cladded inconel 718
10.1016/j.cie.2024.110044,Reinforcement Learning for Disassembly Task Control
10.3390/s21020418,A remaining useful life prognosis of turbofan engine using temporal and spatial feature fusion
10.1007/s10696-024-09537-x,"A machine learning framework for explainable knowledge mining and production, maintenance, and quality control optimization in flexible circular manufacturing systems"
10.21872/2023IISE_3691,Application of Machine Learning Algorithms to Determine Reliability of Remanufacturable Components
10.1016/j.ifacol.2025.09.487,Tracing Uncertainty in Reverse Logistics: A Decision Support System for Zero Defect Remanufacturing Quality and Quantity Control
10.1115/1.4063761,A Machine Learning–Based Tire Life Prediction Framework for Increasing Life of Commercial Vehicle Tires
10.3390/su17125480,Predictive Modeling for Sustainable Tire Retreading and Resource Optimization in Public Transport System
10.1016/j.est.2025.119038,Investigation of cryogenic immersion effects on Li-ion and Na-ion batteries performance coupled with machine learning for capacity optimization
10.3390/app142210493,A Deep Learning-Based Framework for Bearing RUL Prediction to Optimize Laser Shock Peening Remanufacturing
10.1016/j.heliyon.2024.e38609,Empowering the circular economy practices: Lifecycle assessment and machine learning-driven residual value prediction in IoT-enabled microwave oven
10.1007/s10845-025-02663-9,Multi-task deep learning-empowered in-situ monitoring methodology for visible and invisible defects in laser melt injection: ceramic reinforced metal matrix composite
10.1080/21681015.2025.2497867,The circular supply chains in smart cities: a catalyst for sustainable development
10.3390/a17120562,Unlocking the Potential of Remanufacturing Through Machine Learning and Data-Driven Models—A Survey
10.1504/IJPMB.2024.138350,Remanufacturing of end-of-life laptop based on remaining useful life prediction and quality grading with random forest and cluster analysis
10.1007/978-3-031-52649-7_3,Robotic Disassembly Sequence Planning and Line Balancing—Research Trends Review and Bibliometric Analysis
10.1007/s00170-024-14930-9,AI-driven Life Cycle Assessment for sustainable hybrid manufacturing and remanufacturing
10.1007/s10796-024-10515-9,Machine Learning Algorithms for Pricing End-of-Life Remanufactured Laptops
10.1109/ICIPTM59628.2024.10563917,Compounding Process Optimization for Recycled Materials Using Machine Learning Algorithms
10.1109/ICICT60155.2024.10544632,Real-time Glass Recycling Quality Assurance and Contamination Reduction with IoT and Random Forest algorithm
10.1016/j.aca.2021.339294,Refractory residues classification strategy using emission spectroscopy of laser-induced plasmas in tandem with a decision tree-based algorithm
10.1115/1.4063561,Automated Evaluation and Rating of Product Repairability Using Artificial Intelligence-Based Approaches
10.1109/CENIM64038.2024.10882774,Fuzzy Disassembly Planning with Stimuli-Activated Self-Disassembly Workstations
10.1016/j.resconrec.2020.105073,The narrative of sustainability and circular economy - A longitudinal review of two decades of research
10.1016/j.jclepro.2020.120894,A choice behavior experiment with circular business models using machine learning and simulation modeling
10.1016/j.cma.2019.112734,Thermal field prediction for laser scanning paths in laser aided additive manufacturing by physics-based machine learning
10.15488/9660,Implementation of Machine Learning to Improve the Decision-Making Process of End-of-Usage Products in the Circular Economy
10.1007/s11837-019-03917-7,Machine Learning-Enabled Competitive Grain Growth Behavior Study in Directed Energy Deposition Fabricated Ti6Al4V
10.1016/j.rcim.2019.04.013,A remanufacturing cost prediction model of used parts considering failure characteristics
10.3969/j.issn.1004-132X.2018.21.012,Research on Remanufacturing Cost Prediction Model of Used Parts Considering Failure Features
10.1016/j.engappai.2023.106715,Integrated failure analysis using machine learning predictive system for smart management of medical equipment maintenance
10.1016/j.cie.2025.111034,Early screening of potential breakthrough technologies with enhanced interpretability: A patent-specific hierarchical attention network model
10.1016/j.nanoen.2025.111092,Robust self-encapsulated fiber integrated with rescue robots for environmental information collection
10.1109/TNSRE.2022.3200485,Continuous Estimation of Human Knee Joint Angles by Fusing Kinematic and Myoelectric Signals
10.1038/s41598-022-14835-1,Privacy-preserving for assembly deviation prediction in a machine learning model of hydraulic equipment under value chain collaboration
10.1109/TPAMI.2021.3095381,ProtTrans: Toward Understanding the Language of Life Through Self-Supervised Learning
10.1016/j.promfg.2020.11.008,Data-driven context awareness of smart products in discrete smart manufacturing systems
10.1186/s13007-023-01119-6,Pre-trained protein language model sheds new light on the prediction of Arabidopsis protein–protein interactions
10.1016/j.compbiolchem.2023.107970,Protein-DNA interface hotspots prediction based on fusion features of embeddings of protein language model and handcrafted features
10.1002/mma.8952,BRANN forecast of superalloy tensile strength versus Larson–Miller parameter relation and its approximation by a sigmoidal function
10.1115/IMECE2022-96092,INDUSTRY 4.0 TRENDS IN INTELLIGENT MANUFACTURING AUTOMATION EXPLORING MACHINE LEARNING
10.1109/ITQMIS56172.2022.9976502,Artificial Intelligence Techniques within a Technological Process of Manufacturing Automated Control Systems
10.24887/0028-2448-2022-11-42-46,MARS: scenarios monitoring and analysis system
10.1109/TII.2022.3142318,Machine Learning Regression for RF Path Loss Estimation Over Grass Vegetation in IoWSN Monitoring Infrastructure
10.3390/axioms11090469,PTG-PLM: Predicting Post-Translational Glycosylation and Glycation Sites Using Protein Language Models and Deep Learning
10.5194/acp-24-4047-2024,Extending the wind profile beyond the surface layer by combining physical and machine learning approaches
10.3390/ijms25084507,Comprehensive Research on Druggable Proteins: From PSSM to Pre-Trained Language Models
10.1016/j.foodchem.2023.137162,pLM4ACE: A protein language model based predictor for antihypertensive peptide screening
10.1093/bib/bbad077,NeuroPred-PLM: an interpretable and robust model for neuropeptide prediction by protein language model
10.1109/ESEM56168.2023.10304862,TransDPR: Design Pattern Recognition Using Programming Language Models
10.1016/j.compbiomed.2023.107259,CAPSCNet: A novel scattering network for automated identification of phasic cyclic alternating patterns of human sleep using multivariate EEG signals
10.1002/jmri.28353,Machine Learning Prediction of Collagen Fiber Orientation and Proteoglycan Content From Multiparametric Quantitative MRI in Articular Cartilage
10.5194/acp-23-3181-2023,Estimating hub-height wind speed based on a machine learning algorithm: Implications for wind energy assessment
10.1038/s41598-024-70039-9,A veracity dissemination consistency-based few-shot fake news detection framework by synergizing adversarial and contrastive self-supervised learning
10.1038/s41598-024-67433-8,PLMACPred prediction of anticancer peptides based on protein language model and wavelet denoising transformation
10.1007/s11277-024-11659-2,Automated Sleep Disorder Diagnosis Utilising EMG & EOG with Bi-LSTM Model and a Novel Reconfigurable Filter bank
10.1016/j.ijbiomac.2024.136252,DeepNeoAG: Neoantigen epitope prediction from melanoma antigens using a synergistic deep learning model combining protein language models and multi-window scanning convolutional neural networks
10.7148/2024-0026,MACHINE LEARNING IN AGILE MANUFACTURING; A USECASE FROM OFFSHORE WIND TURBINE PRODUCT LIFECYCLE MANAGEMENT (PLM) SYSTEM
10.1016/j.csbj.2025.03.043,iNClassSec-ESM: Discovering potential non-classical secreted proteins through a novel protein language model
10.1186/s12911-024-02814-7,Uncertainty-aware automatic TNM staging classification for [18F] Fluorodeoxyglucose PET-CT reports for lung cancer utilising transformer-based language models and multi-task learning
10.1109/ICAICTA63815.2024.10762980,BIOGAN-BERT: BioGPT-2 Fine Tuned and GAN-BERT for Extracting Drug Interaction Based on Biomedical Texts
10.1109/IJCNN60899.2024.10651072,Enhancing Data Augmentation with Knowledge-enriched Data Generation via Dynamic Prompt-tuning Method
10.1109/JBHI.2024.3377362,PTransIPs: Identification of Phosphorylation Sites Enhanced by Protein PLM Embeddings
10.1016/j.jmb.2025.168977,DOGpred: A Novel Deep Learning Framework for Accurate Identification of Human O-linked Threonine Glycosylation Sites
10.1371/journal.pone.0319208,PUNCH2: Explore the strategy for intrinsically disordered protein predictor
10.1002/advs.202404212,S-PLM: Structure-Aware Protein Language Model via Contrastive Learning Between Sequence and Structure
10.1093/tse/tdad033,BLE beacons for sample position estimation in a life science automation laboratory
10.23939/mmc2023.04.1023,A generic model of the information and decisional chain using Machine Learning based assistance in a manufacturing context
10.1016/j.ijbiomac.2024.134146,A protein pre-trained model-based approach for the identification of the liquid-liquid phase separation (LLPS) proteins
10.1016/j.compbiolchem.2024.108163,Leveraging protein language model embeddings and logistic regression for efficient and accurate in-silico acidophilic proteins classification
10.1016/j.jmb.2025.169236,pLMMoRF: A Web Server That Accurately Predicts Membrane-interacting Molecular Recognition Features by Employing a Protein Language Model
10.1016/j.jpha.2025.101410,HyPepTox-Fuse: An interpretable hybrid framework for accurate peptide toxicity prediction fusing protein language model-based embeddings with conventional descriptors
10.1002/eqe.70032,Physic-Law Integrated Neural Network for Nonlinear Seismic Demand Prediction
10.1007/s12539-025-00696-5,Advancing the Accuracy of Anti-MRSA Peptide Prediction Through Integrating Multi-Source Protein Language Models
10.3390/v17091199,Protein Language Models Expose Viral Immune Mimicry
10.1007/s12539-025-00766-8,IQSPred-PLM: An Interpretable Quorum Sensing Peptides Prediction Model Based on Protein Language Model
10.3390/info16010065,Fine-Grained Arabic Post (Tweet) Geolocation Prediction Using Deep Learning Techniques
10.1007/978-3-031-94895-4_4,Novel Deep Learning Image Registration Techniques with Application to Microscopy Images of Metal Alloys
10.1016/j.jss.2025.112604,Syntactic multilingual probing of pre-trained language models of code
10.1080/19420862.2025.2562997,Accelerating antibody development: sequence and structure-based models for predicting developability properties via size exclusion chromatography
10.1038/s41598-025-08510-4,Advancing the accuracy of clathrin protein prediction through multi-source protein language models
10.24136/oc.3596,Immersive collaborative business process and extended reality-driven industrial metaverse technologies for economic value co-creation in 3D digital twin factories
10.1002/pro.70026,GRU4ACE: Enhancing ACE inhibitory peptide prediction by integrating gated recurrent unit with multi-source feature embeddings
10.1089/hum.2024.227,Prediction of Adeno-Associated Virus Fitness with a Protein Language-Based Machine Learning Model
10.1016/j.smhl.2018.07.015,New attacks on RNN based healthcare learning system and their detections
10.1093/bioinformatics/btaf294,DeepAllo: allosteric site prediction using protein language model (pLM) with multitask learning
10.3103/S0146411624700779,Detecting Malware Using Deep Neural Networks
10.3390/a18060303,Forecasting the Remaining Useful Life of Lithium-Ion Batteries Using Machine Learning Models—A Web-Based Application
10.1016/j.infsof.2025.107683,BinOpLeR: Optimization level recovery from binaries based on rich semantic instruction image and weighted voting
10.1016/j.est.2025.115488,Influence of aviation low-pressure environment on the aging behavior and thermal safety of lithium titanate batteries
10.1017/S0890060424000039,A novel reinforcement learning framework for disassembly sequence planning using Q-learning technique optimized using an enhanced simulated annealing algorithm
10.3390/infrastructures10070174,Intelligent Hybrid SHM-NDT Approach for Structural Assessment of Metal Components
10.1016/j.neucom.2023.127145,Reinforcement learning for Hybrid Disassembly Line Balancing Problems
10.1109/ACSAT63853.2024.10823947,Design for Safe Handling Disposal of the Lithium Waste Power Batteries in a Disassembly Line using Control System Equipped with Machine learning
10.1007/s12032-025-02859-2,Emerging roles and clinical perspectives of long noncoding RNAs in prostate cancer
10.1016/j.trc.2024.104970,Railcar itinerary optimization in railway marshalling yards: A graph neural network based deep reinforcement learning method
10.1007/s10845-025-02580-x,"Exploring the synergy of human-robot teaming, digital twins, and machine learning in Industry 5.0: a step towards sustainable manufacturing"
10.1007/978-981-96-2625-0_19,Review of Research on Battery Defect Detection and Recovery
10.1155/ijog/6681711,Establishing a Prognostic Model Correlates to Inflammatory Response Pathways for Prostate Cancer via Multiomic Analysis of Lactylation-Related Genes
10.1093/pnasnexus/pgae538,Molecular dynamics and machine learning stratify motion-dependent activity profiles of S-layer destabilizing nanobodies
10.3390/s24237451,"IoT-Cloud, VPN, and Digital Twin-Based Remote Monitoring and Control of a Multifunctional Robotic Cell in the Context of AI, Industry, and Education 4.0 and 5.0"
10.1016/j.addma.2024.104533,Toward 3D printability prediction for thermoplastic polymer nanocomposites: Insights from extrusion printing of PLA-based systems
10.1093/treephys/tpae072,Deep learning with a small dataset predicts chromatin remodelling contribution to winter dormancy of apple axillary buds
10.1093/nar/gkad738,Bi-directional nucleosome sliding by the Chd1 chromatin remodeler integrates intrinsic sequence-dependent and ATP-dependent nucleosome positioning
10.1145/3639856.3639864,SecureFrameNet:A rich computing capable secure framework for deploying neural network models on edge protected system.
10.19665/j.issn1001-2400.20230601,Privacy preserving multi-classification LR scheme for data quality
10.1007/s10207-022-00626-2,Malicious code detection in android: the role of sequence characteristics and disassembling methods
10.1111/coin.12551,Attention-based convolutional neural network deep learning approach for robust malware classification
10.1016/j.ebiom.2024.105286,Accurate identification of genes associated with brain disorders by integrating heterogeneous genomic data into a Bayesian framework
10.1016/j.enbuild.2024.114444,Operational strategy optimization of an existing ground source heat pump (GSHP) system using an XGBoost surrogate model
10.13394/j.cnki.jgszz.2023.0148,Online recognition of contour error of diamond roller
10.1109/CSCloud-EdgeCom58631.2023.00037,BContext2Name: Naming Functions in Stripped Binaries with Multi-Label Learning and Neural Networks
10.1007/978-981-99-0063-3_45,Research on Batch Fault Prediction Model of Intelligent Electric Energy Meter
10.1093/g3journal/jkac142,Integrative analysis and prediction of human R-loop binding proteins
10.1158/2326-6066.CIR-21-1101,Molecular Subgroups of Intrahepatic Cholangiocarcinoma Discovered by Single-Cell RNA Sequencing-Assisted Multiomics Analysis
10.1016/j.jprot.2023.104905,Using ATCLSTM-Kcr to predict and generate the human lysine crotonylation database
10.1016/j.asoc.2023.110676,SDIF-CNN: Stacking deep image features using fine-tuned convolution neural network models for real-world malware detection and classification
10.3389/frobt.2021.688275,Vision-Guided MPC for Robotic Path Following Using Learned Memory-Augmented Model
10.1016/j.bbrc.2021.02.073,Sperm chromatin-condensing protamine enhances SMYD5 thermal stability
10.18280/ria.370405,Feature Selection for Android Malware Detection with Random Forest on Smartphones
10.1016/j.engappai.2023.106337,Surface topography characterization using a simple optical device and artificial neural networks
10.1007/s00466-023-02302-1,Mallat Scattering Transformation based surrogate for Magnetohydrodynamics
10.1109/PAINE54418.2021.9707707,Wavelet Selection and Employment for Side-Channel Disassembly
10.3390/app122211610,Goal-Conditioned Reinforcement Learning within a Human-Robot Disassembly Environment
10.1007/978-3-030-73671-2_7,Malware Variants Detection Based on Feature Fusion
10.1016/j.spc.2022.12.002,Adopting Artificial Intelligence for enhancing the implementation of systemic circularity in the construction industry: A critical review
10.3390/info13120571,An Efficient Malware Classification Method Based on the AIFS-IDL and Multi-Feature Fusion
10.24425/bpasts.2020.131848,Machine learning methods for optimal compatibility of materials in ecodesign
10.1145/3545948.3545956,BinProv: Binary Code Provenance Identification without Disassembly
10.1016/j.jmsy.2022.07.013,Machine learning based screw drive state detection for unfastening screw connections
10.1007/s11416-020-00354-y,Convolutional neural networks and extreme learning machines for malware classification
10.13868/j.cnki.jcr.000359,Multinomial logistic regression model based on homomorphic encryption
10.1093/bib/bbab254,Chromatin loop anchors predict transcript and exon usage
10.1145/3377170.3377236,Malware detection method based on control flow analysis
10.1088/1742-6596/1384/1/012017,Automated defect detection in oil-lubricated parts and units of D30KP/KP-2 aircraft gas turbine engines by results of microwave plasma method
10.1002/pro.3431,"Erratum to: PixelDB: Protein-peptide complexes annotated with structural conservation of the peptide binding mode: PixelDB: Protein−Peptide Complexes (Protein Science, (2018), 27, 1, (276-285), 10.1002/pro.3320)"
10.1145/3195970.3196094,Power-based side-channel instruction-level disassembler
10.1053/j.gastro.2021.05.057,Hybrid Stomach-Intestinal Chromatin States Underlie Human Barrett's Metaplasia
10.1093/bioinformatics/bty003,LeNup: Learning nucleosome positioning from DNA sequences with improved convolutional neural networks
10.1117/12.2302715,Convolutional neural networks for functional classification of opcode sequences
10.1186/s13072-017-0152-2,Hypomethylated domain-enriched DNA motifs prepattern the accessible nucleosome organization in teleosts
10.5220/0010607408540859,Machine learning classification of obfuscation using image visualization
10.1016/j.jclepro.2020.124152,Development of recycling strategy for large stacked systems: Experimental and machine learning approach to form reuse battery packs for secondary applications
10.1145/3432291.3432300,Instruction Level Disassembly through Electromagnetic Side-Chanel: Machine Learning Classification Approach with Reduced Combinatorial Complexity
10.1109/WCRE.2009.16,Static detection of disassembly errors
10.1080/09511920802024176,A machine learning approach for optimal disassembly planning
10.3389/fimmu.2024.1318316,Bioinformatic validation and machine learning-based exploration of purine metabolism-related gene signatures in the context of immunotherapeutic strategies for nonspecific orbital inflammation
10.1109/ICEACE63551.2024.10899011,Research on Production Decision Making Based on Genetic Algorithm
10.1109/ICOA62581.2024.10753854,A Deep Learning-Based Model for Malware Detection Using Transformer Architecture
10.1080/07357907.2025.2575909,Machine Learning-Based Prognostic Model for Gastric Cancer Using Integrated Multi-Omics Data
10.1002/qre.70090,Optimization of Selective Disassembly Sequence Planning for Waste Electrical and Electronic Equipment Using a Hybrid Dual-Advantage Reinforcement Learning Approach
10.1109/ICHMS65439.2025.11154218,Solving Multi-Objective Disassembly and Assembly Line Balancing Problem with Worker Fatigue Level Using Multi-Agent Proximal Policy Optimization Algorithm
10.1109/AIIoT65859.2025.11105301,Lightweight AI-Based Cross-Architecture Detection of IoT Malware Using Opcode and System Call Analysis
10.1007/978-3-031-96196-0_16,Implementing Hybrid Tsetlin Machine and Q-Learning for Solving the Job Shop Scheduling
10.3892/mmr.2016.5260,Feature genes predicting the FLT3/ITD mutation in acute myeloid leukemia
10.1109/ICGCIoT.2015.7380711,Static code analysis and detection of multiple malicious Java applets using SVM
10.1016/j.cels.2015.12.003,Prediction of Synergism from Chemical-Genetic Interactions by Machine Learning
10.1186/s12859-017-1769-7,Assessing the model transferability for prediction of transcription factor binding sites based on chromatin accessibility
10.1007/978-3-030-16837-7_12,A detailed investigation and analysis of deep learning architectures and visualization techniques for malware family identification
10.1007/s00170-005-0054-5,Part grasping for automated disassembly
10.1093/nar/gkz118,Labelled regulatory elements are pervasive features of the macrophage genome and are dynamically utilized by classical and alternative polarization signals
10.1109/ICACCS.2019.8728471,Deep Learning Framework and Visualization for Malware Classification
10.1109/ACCESS.2019.2948358,How to make attention mechanisms more practical in malware classification
10.3390/automation6030046,Intelligent Fault Diagnosis of Gas Pressure Regulator Based on AE-GWO-SVM Algorithm
10.1016/j.watres.2025.124098,Multivariate explainable machine learning assists in redefining high-performance phosphate removal by layered double hydroxides
10.1016/j.jad.2025.120311,Peripheral innate immune signature links migraine and depression: Identification of PTX3 and HP as shared diagnostic biomarkers
10.1007/978-3-032-03534-9_4,Federated Learning for Smart Manufacturing: Evaluating Deep Learning Architectures for Time Series Forecasting in a Collaborative Framework
10.1038/s41598-025-89093-y,Correlation of rivaroxaban solubility in mixed solvents for optimization of solubility using machine learning analysis and validation
10.1016/j.optlastec.2025.114070,Adaptive In-Situ monitoring for laser powder bed Fusion: Self-Supervised learning for layer thickness monitoring across scan lengths based on pyrometry
10.1007/s40964-025-01088-3,Optimizing multi-physics variables in wire arc additive manufacturing for weld bead aspect ratio: a machine learning approach
10.1016/j.jddst.2025.107573,Evaluating the impact of lyophilization process parameters on mRNA encapsulated lipid nanoparticles using machine learning
10.1007/s12289-025-01943-2,"Laser forming technology: a comprehensive review of mechanisms, process optimization, and industrial applications"
10.1007/s00170-025-16577-6,Emerging approaches to process control in injection molding: a comprehensive review
10.1002/jsid.2104,Designing Manufacturing Process for Oxide Thin-Film Transistors Based on End-to-End Graph Convolutional Networks Model
10.1115/1.4069270,Machine Learning Approaches for Heat Treatment in Thermal Manufacturing Processes: A Review
10.3365/KJMM.2025.63.8.568,Process Optimization and Characterization of L-PBF 3.3% Si Electrical Steel via Machine Learning and XAI
10.3390/app15158587,Physics-Based Data Augmentation Enables Accurate Machine Learning Prediction of Melt Pool Geometry
10.1016/j.biortech.2025.132582,Data-driven insights for enhanced cellulose conversion to 5-hydroxymethylfurfural using machine learning
10.1016/j.addma.2025.104926,A novel dual-phase Bayesian estimation and multi-task learning method for process optimization for reducing lack-of-fusion defects during laser powder bed fusion
10.1016/j.measurement.2025.118917,Curvature and central angle-based morphology measurement method for digital arc additive manufacturing
10.1016/j.compositesb.2021.109150,A machine learning framework for real-time inverse modeling and multi-objective process optimization of composites for active manufacturing control
10.1007/s10845-020-01717-4,Machine learning for multi-dimensional optimisation and predictive visualisation of laser machining
10.1007/s10845-020-01718-3,In-situ identification of material batches using machine learning for machining operations
10.3390/pharmaceutics13050663,Application of machine-learning algorithms for better understanding of tableting properties of lactose co-processed with lipid excipients
10.1016/j.engappai.2022.105546,Data-driven multi-objective optimization with neural network-based sensitivity analysis for semiconductor devices
10.1016/j.solmat.2022.112055,Bayesian Optimization of photonic curing process for flexible perovskite photovoltaic devices
10.1177/09544062221117660,Inclusion of IoT technology in additive manufacturing: Machine learning-based adaptive bead modeling and path planning for sustainable wire arc additive manufacturing and process optimization
10.1016/j.promfg.2021.06.045,In-situ droplet monitoring of inkjet 3D printing process using image analysis and machine learning models
10.25518/esaform21.3882,Deep neural networks as surrogate models for time-efficient manufacturing process optimisation
10.1515/ntrev-2021-0093,Machine-learning-assisted microstructure-property linkages of carbon nanotube-reinforced aluminum matrix nanocomposites produced by laser powder bed fusion
10.1007/s00521-022-07694-4,"Computational AI models in VAT photopolymerization: a review, current trends, open issues, and future opportunities"
10.21741/9781644902479-126,Forming process optimisation for variable geometries by machine learning – Convergence analysis and assessment
10.1021/acsaem.0c01207,Optimization of solar cell production lines using neural networks and genetic algorithms
10.3390/s20133642,Intelligent industrial cleaning: A multi-sensor approach utilising machine learning-based regression
10.11817/j.ysxb.1004.0609.2021-41043,Optimization of selective laser powder bed fusion process for Ti-6Al-4V alloy based on machine-learning
10.1016/j.joule.2022.03.003,Machine learning with knowledge constraints for process optimization of open-air perovskite solar cell manufacturing
10.1016/j.mfglet.2022.01.002,"An approach for process optimisation of the Automated Fibre Placement (AFP) based thermoplastic composites manufacturing using Machine Learning, photonic sensing and thermo-mechanics modelling"
10.1016/j.ijplas.2020.102867,A machine learning framework to predict local strain distribution and the evolution of plastic anisotropy & fracture in additively manufactured alloys
10.1016/j.matt.2022.04.004,Accelerate process optimization in perovskite solar cell manufacturing with machine learning
10.1016/j.matdes.2023.112161,Using machine learning for prediction of spray coated perovskite solar cells efficiency: From experimental to theoretical models
10.1088/2631-8695/ace610,Neurosymbolic artificial intelligence (NSAI) based algorithm for predicting the impact strength of additive manufactured polylactic acid (PLA) specimens
10.36922/msam.50,Data imputation strategies for process optimization of laser powder bed fusion of Ti6Al4V using machine learning
10.1016/j.neucom.2015.04.069,Intelligent fault diagnosis of rotating machinery using support vector machine with ant colony algorithm for synchronous feature selection and parameter optimization
10.1016/j.jbiotec.2014.03.004,Data mining for rapid prediction of facility fit and debottlenecking of biomanufacturing facilities
10.1016/j.aei.2011.08.003,Intelligent machine agent architecture for adaptive control optimization of manufacturing processes
10.1109/ICIINFS.2014.7036589,Modeling the steel case carburizing quenching process using statistical and machine learning techniques
10.1126/science.adj1817,"Automated self-optimization, intensification, and scale-up of photocatalysis in flow"
10.1016/j.aei.2023.102309,Two-stage imbalanced learning-based quality prediction method for wheel hub assembly
10.1007/s10845-021-01789-w,"Smart sheet metal forming: importance of data acquisition, preprocessing and transformation on the performance of a multiclass support vector machine for predicting wear states during blanking"
10.1115/msec2023-104463,ARTIFICIAL INTELLIGENCE-BASED DESIGN OF PROCESS PARAMETERS IN LASER POWDER BED FUSION OF TI-6AL-4V FOR DESIRED SOLIDIFICATION STRUCTURE
10.1007/978-3-031-27440-4_34,Automotive Stamping Process Optimization Using Machine Learning and Multi-objective Evolutionary Algorithm
10.1007/978-981-19-7455-7_61,A Soft Computing Based Approach for Pixel Labelling on 2D Images Using Fine Tuned R-CNN
